Num   y   M   d   h   min   s   ms      T_raw   T_C   Hum_raw   Hum_% 
211   2022   12   20   10   3   25   795      6186   22.16   1475   48.59


212   2022   12   20   10   3   26   196      6186   22.16   1475   48.59


213   2022   12   20   10   3   26   597      6186   22.16   1475   48.59


214   2022   12   20   10   3   26   998      6185   22.15   1475   48.59


215   2022   12   20   10   3   27   399      6186   22.16   1474   48.55


216   2022   12   20   10   3   27   800      6185   22.15   1474   48.55


217   2022   12   20   10   3   28   201      6185   22.15   1474   48.55


218   2022   12   20   10   3   28   602      6186   22.16   1474   48.55


219   2022   12   20   10   3   29   3      6186   22.16   1474   48.55


220   2022   12   20   10   3   29   404      6186   22.16   1474   48.55


221   2022   12   20   10   3   29   806      6186   22.16   1474   48.55


222   2022   12   20   10   3   30   207      6186   22.16   1474   48.55


223   2022   12   20   10   3   30   608      6186   22.16   1474   48.55


224   2022   12   20   10   3   31   9      6186   22.16   1474   48.55


225   2022   12   20   10   3   31   410      6186   22.16   1474   48.55


226   2022   12   20   10   3   31   410      6186   22.16   1474   48.55


227   2022   12   20   10   3   31   811      6187   22.17   1474   48.55


228   2022   12   20   10   3   32   212      6187   22.17   1474   48.55


229   2022   12   20   10   3   32   613      6188   22.18   1474   48.55


230   2022   12   20   10   3   33   14      6188   22.18   1474   48.55


231   2022   12   20   10   3   33   415      6187   22.17   1474   48.55


232   2022   12   20   10   3   33   816      6187   22.17   1474   48.55


233   2022   12   20   10   3   34   217      6187   22.17   1474   48.55


234   2022   12   20   10   3   34   618      6187   22.17   1473   48.52


235   2022   12   20   10   3   35   19      6188   22.18   1473   48.52


236   2022   12   20   10   3   35   420      6188   22.18   1472   48.49


237   2022   12   20   10   3   35   821      6188   22.18   1473   48.52


238   2022   12   20   10   3   36   222      6187   22.17   1472   48.49


239   2022   12   20   10   3   36   623      6188   22.18   1473   48.52


240   2022   12   20   10   3   37   25      6188   22.18   1473   48.52


241   2022   12   20   10   3   37   25      6189   22.19   1472   48.49


242   2022   12   20   10   3   37   426      6189   22.19   1473   48.52


243   2022   12   20   10   3   37   827      6188   22.18   1472   48.49


244   2022   12   20   10   3   38   228      6190   22.2   1472   48.49


245   2022   12   20   10   3   38   629      6190   22.2   1472   48.49


246   2022   12   20   10   3   39   30      6190   22.2   1472   48.49


247   2022   12   20   10   3   39   432      6190   22.2   1472   48.49


248   2022   12   20   10   3   39   833      6188   22.18   1472   48.49


249   2022   12   20   10   3   40   234      6190   22.2   1472   48.49


250   2022   12   20   10   3   40   635      6189   22.19   1472   48.49


251   2022   12   20   10   3   41   36      6190   22.2   1472   48.49


252   2022   12   20   10   3   41   438      6190   22.2   1472   48.49


253   2022   12   20   10   3   41   839      6190   22.2   1472   48.49


254   2022   12   20   10   3   42   240      6190   22.2   1472   48.49


255   2022   12   20   10   3   42   641      6189   22.19   1472   48.49


256   2022   12   20   10   3   42   641      6189   22.19   1472   48.49


257   2022   12   20   10   3   43   42      6190   22.2   1472   48.49


258   2022   12   20   10   3   43   443      6189   22.19   1472   48.49


259   2022   12   20   10   3   43   844      6189   22.19   1472   48.49


260   2022   12   20   10   3   44   245      6190   22.2   1472   48.49


261   2022   12   20   10   3   44   646      6190   22.2   1472   48.49


262   2022   12   20   10   3   45   47      6190   22.2   1472   48.49


263   2022   12   20   10   3   45   448      6190   22.2   1472   48.49


264   2022   12   20   10   3   45   849      6189   22.19   1472   48.49


265   2022   12   20   10   3   46   250      6189   22.19   1472   48.49


266   2022   12   20   10   3   46   651      6190   22.2   1472   48.49


267   2022   12   20   10   3   47   52      6189   22.19   1472   48.49


268   2022   12   20   10   3   47   453      6188   22.18   1472   48.49


269   2022   12   20   10   3   47   854      6190   22.2   1472   48.49


270   2022   12   20   10   3   48   255      6190   22.2   1472   48.49


271   2022   12   20   10   3   48   255      6190   22.2   1472   48.49


272   2022   12   20   10   3   48   656      6190   22.2   1472   48.49


273   2022   12   20   10   3   49   57      6190   22.2   1472   48.49


274   2022   12   20   10   3   49   458      6190   22.2   1472   48.49


275   2022   12   20   10   3   49   859      6190   22.2   1472   48.49


276   2022   12   20   10   3   50   261      6191   22.21   1472   48.49


277   2022   12   20   10   3   50   662      6191   22.21   1472   48.49


278   2022   12   20   10   3   51   63      6189   22.19   1472   48.49


279   2022   12   20   10   3   51   464      6190   22.2   1472   48.49


280   2022   12   20   10   3   51   865      6190   22.2   1472   48.49


281   2022   12   20   10   3   52   266      6191   22.21   1472   48.49


282   2022   12   20   10   3   52   667      6191   22.21   1471   48.46


283   2022   12   20   10   3   53   69      6191   22.21   1472   48.49


284   2022   12   20   10   3   53   470      6190   22.2   1471   48.46


285   2022   12   20   10   3   53   871      6190   22.2   1471   48.46


286   2022   12   20   10   3   53   871      6190   22.2   1471   48.46


287   2022   12   20   10   3   54   273      6190   22.2   1472   48.49


288   2022   12   20   10   3   54   674      6189   22.19   1471   48.46


289   2022   12   20   10   3   55   75      6190   22.2   1472   48.49


290   2022   12   20   10   3   55   475      6190   22.2   1471   48.46


291   2022   12   20   10   3   55   876      6191   22.21   1471   48.46


292   2022   12   20   10   3   56   277      6189   22.19   1471   48.46


293   2022   12   20   10   3   56   678      6189   22.19   1472   48.49


294   2022   12   20   10   3   57   79      6190   22.2   1472   48.49


295   2022   12   20   10   3   57   479      6188   22.18   1472   48.49


296   2022   12   20   10   3   57   880      6188   22.18   1471   48.46


297   2022   12   20   10   3   58   281      6189   22.19   1472   48.49


298   2022   12   20   10   3   58   682      6189   22.19   1472   48.49


299   2022   12   20   10   3   59   83      6189   22.19   1472   48.49


300   2022   12   20   10   3   59   484      6190   22.2   1472   48.49


301   2022   12   20   10   3   59   484      6189   22.19   1472   48.49


302   2022   12   20   10   3   59   885      6189   22.19   1472   48.49


303   2022   12   20   10   4   0   286      6188   22.18   1472   48.49


304   2022   12   20   10   4   0   687      6188   22.18   1472   48.49


305   2022   12   20   10   4   1   87      6187   22.17   1472   48.49


306   2022   12   20   10   4   1   488      6188   22.18   1472   48.49


307   2022   12   20   10   4   1   889      6188   22.18   1472   48.49


308   2022   12   20   10   4   2   290      6188   22.18   1472   48.49


309   2022   12   20   10   4   2   691      6188   22.18   1473   48.52


310   2022   12   20   10   4   3   92      6190   22.2   1473   48.52


311   2022   12   20   10   4   3   493      6188   22.18   1473   48.52


312   2022   12   20   10   4   3   894      6188   22.18   1472   48.49


313   2022   12   20   10   4   4   295      6188   22.18   1473   48.52


314   2022   12   20   10   4   4   696      6189   22.19   1473   48.52


315   2022   12   20   10   4   5   96      6189   22.19   1473   48.52


316   2022   12   20   10   4   5   497      6187   22.17   1472   48.49


317   2022   12   20   10   4   5   498      6188   22.18   1473   48.52


318   2022   12   20   10   4   5   898      6188   22.18   1473   48.52


319   2022   12   20   10   4   6   299      6188   22.18   1473   48.52


